gush_number,school_gan,education_type,ethnicity,religious or not
7233,2,M,J,2
7236,1,M,J,2
7239,3,M,J,2
7240,4,M,J,2
7241,4,M,J,2
7242,6,M,J,2
7243,2,mixed,J,3
7244,6,M,J,2
7248,3,M,J,2
7250,2,M,J,2
7257,2,M,J,2
7259,2,A,A,1
7261,3,M,J,2
7271,1,M,J,2
7281,4,H,J,4
7282,3,M,J,2
7285,1,M,J,2
7286,1,H,J,4
7291,5,M,J,2
7305,2,H,J,4
7321,6,M,J,2
7341,2,M,J,2
7342,4,M,J,2
7343,1,H,J,4
7344,3,M,J,2
7361,21,H,J,4
7362,2,mixed,J,3
7363,1,M,J,2
7364,1,M,J,2
7365,2,M,J,2
7370,2,M,J,2
7371,2,mixed,J,3
7373,3,M,J,2
7374,6,M,J,2
7375,1,M,J,2
7408,5,M,J,2
7423,1,H,J,4
7427,1,M,J,2
7428,2,A,A,1
7429,4,M,J,2
7431,1,M,J,2
7434,2,H,J,4
7437,2,M,J,2
7506,1,A,A,1
7507,21,A,A,1
7508,2,A,A,1
7580,1,M,J,2
7582,3,M,J,2
7585,1,M,J,2
7589,1,M,J,2
7590,1,M,J,2
7593,5,M,J,2
7594,2,M,J,2
7601,6,M,J,2
7602,5,M,J,2
7603,1,M,J,2
7604,2,M,J,2
7606,5,M,J,2
7614,1,M,J,2
7618,5,M,J,2
7620,7,H,J,4
7621,18,M,J,2
7637,2,M,J,2
7649,5,M,J,2
7650,7,M,J,2
7651,7,M,J,2
7652,3,M,J,2
7654,15,M,J,2
7655,9,M,J,2
7656,2,H,J,4
7676,2,M,J,2
7696,3,M,J,2
7711,4,M,J,2
7726,3,M,J,2
7727,3,H,J,4
7730,2,mixed,J,3
7731,4,mixed,J,3
7748,6,M,J,2
7752,2,M,J,2
7765,1,A,A,1
7773,2,A,A,1
7774,2,A,A,1
7776,1,A,A,1
7781,36,A,A,1
7787,4,M,J,2
7788,1,M,J,2
7792,4,M,J,2
7793,2,M,J,2
7796,1,M,J,2
7797,1,M,J,2
7800,3,H,J,4
7802,4,M,J,2
7815,5,H,J,4
7817,2,M,J,2
7822,1,H,J,4
7827,1,A,A,1
7842,2,A,A,1
7848,4,A,A,1
7849,2,A,A,1
7850,1,A,A,1
7856,3,A,A,1
7863,2,A,A,1
7864,1,A,A,1
7873,1,A,A,1
7880,2,M,J,2
7881,1,M,J,2
7922,5,H,J,4
7926,6,M,J,2
7928,3,M,J,2
7929,4,mixed,J,3
7932,15,M,J,2
7933,4,mixed,J,3
7936,6,M,J,2
